ID,CTYNAME,SEX,AGEGRP,IMPRACE,Asian,Black,Latino,Native American,Other,White,RESPOP,,
AM85,Anoka County,M,8,5,0,0,0,0,1,0,4,,
AM86,Anoka County,M,8,6,0,0,0,0,0,0,29,,
AM87,Anoka County,M,8,7,0,0,0,1,0,1,51,,
AM88,Anoka County,M,8,8,1,0,0,0,0,1,43,,
AM89,Anoka County,M,8,9,0,0,0,0,1,1,1,,
AM810,Anoka County,M,8,10,0,1,0,1,0,0,10,,
AM811,Anoka County,M,8,11,1,1,0,0,0,0,9,,
AM812,Anoka County,M,8,12,0,1,0,0,1,0,2,,
AM813,Anoka County,M,8,13,1,0,0,1,0,0,2,,
AM815,Anoka County,M,8,15,1,0,0,0,1,0,3,,
AM816,Anoka County,M,8,16,0,1,0,1,0,1,3,,
AM819,Anoka County,M,8,19,0,0,0,1,0,1,1,,
AM820,Anoka County,M,8,20,0,0,0,1,1,1,1,,
AM91,Anoka County,M,9,1,0,0,0,0,0,1,10948,,
AM92,Anoka County,M,9,2,0,1,0,0,0,0,582,,
AM93,Anoka County,M,9,3,0,0,0,1,0,0,100,,
AM94,Anoka County,M,9,4,1,0,0,0,0,0,473,,
AM95,Anoka County,M,9,5,0,0,0,0,1,0,4,,
AM96,Anoka County,M,9,6,0,0,0,0,0,0,21,,
AM97,Anoka County,M,9,7,0,0,0,1,0,1,56,,
AM98,Anoka County,M,9,8,1,0,0,0,0,1,38,,
AM99,Anoka County,M,9,9,0,0,0,0,1,1,3,,
AM910,Anoka County,M,9,10,0,1,0,1,0,0,2,,
AM911,Anoka County,M,9,11,1,1,0,0,0,0,6,,
AM914,Anoka County,M,9,14,0,0,0,1,1,0,1,,
AM915,Anoka County,M,9,15,1,0,0,0,1,0,6,,
AM916,Anoka County,M,9,16,0,1,0,1,0,1,14,,
AM931,Anoka County,M,9,31,1,1,0,1,1,1,1,,
AM101,Anoka County,M,10,1,0,0,0,0,0,1,13275,,
AM102,Anoka County,M,10,2,0,1,0,0,0,0,550,,
AM103,Anoka County,M,10,3,0,0,0,1,0,0,75,,
AM104,Anoka County,M,10,4,1,0,0,0,0,0,400,,
AM105,Anoka County,M,10,5,0,0,0,0,1,0,6,,
AM106,Anoka County,M,10,6,0,0,0,0,0,0,9,,
AM107,Anoka County,M,10,7,0,0,0,1,0,1,56,,
AM108,Anoka County,M,10,8,1,0,0,0,0,1,36,,
AM109,Anoka County,M,10,9,0,0,0,0,1,1,3,,
AM1010,Anoka County,M,10,10,0,1,0,1,0,0,2,,
AM1011,Anoka County,M,10,11,1,1,0,0,0,0,4,,
AM1013,Anoka County,M,10,13,1,0,0,1,0,0,1,,
AM1015,Anoka County,M,10,15,1,0,0,0,1,0,2,,
AM1016,Anoka County,M,10,16,0,1,0,1,0,1,5,,
AM1019,Anoka County,M,10,19,0,0,0,1,0,1,1,,
AM1028,Anoka County,M,10,28,1,1,0,0,1,1,1,,
AM1031,Anoka County,M,10,31,1,1,0,1,1,1,1,,
AM111,Anoka County,M,11,1,0,0,0,0,0,1,12452,,
AM112,Anoka County,M,11,2,0,1,0,0,0,0,401,,
AM113,Anoka County,M,11,3,0,0,0,1,0,0,89,,
AM114,Anoka County,M,11,4,1,0,0,0,0,0,264,,
AM115,Anoka County,M,11,5,0,0,0,0,1,0,2,,
AM116,Anoka County,M,11,6,0,0,0,0,0,0,6,,
AM117,Anoka County,M,11,7,0,0,0,1,0,1,50,,
AM118,Anoka County,M,11,8,1,0,0,0,0,1,28,,
